Symbol,Name,Sector
A,Agilent Technologies Inc,Health Care
AA,Alcoa Inc,Materials
AAL.O,American Airlines Group,Industrials
AAP,Advance Auto Parts,Consumer Discretionary
AAPL.O,Apple Inc.,Information Technology
ABBV.N,AbbVie,Health Care
ABC,AmerisourceBergen Corp,Health Care
ABT,Abbott Laboratories,Health Care
ACN,Accenture plc,Information Technology
ADBE.O,Adobe Systems Inc,Information Technology
ADI,"Analog Devices, Inc.",Information Technology
ADM,Archer-Daniels-Midland Co,Consumer Staples
ADP.O,Automatic Data Processing,Information Technology
ADS,Alliance Data Systems,Information Technology
ADSK,Autodesk Inc,Information Technology
AEE,Ameren Corp,Utilities
AEP,American Electric Power,Utilities
AES,AES Corp,Utilities
AET,Aetna Inc,Health Care
AFL,AFLAC Inc,Financials
AIG,"American International Group, Inc.",Financials
AIV,Apartment Investment & Mgmt,Financials
AIZ,Assurant Inc,Financials
AJG,Arthur J. Gallagher & Co.,Financials
AKAM.O,Akamai Technologies Inc,Information Technology
ALB,Albemarle Corp,Materials
ALK,Alaska Air Group Inc,Industrials
ALL,Allstate Corp,Financials
ALLE,Allegion,Industrials
ALXN,Alexion Pharmaceuticals,Health Care
AMAT.O,Applied Materials Inc,Information Technology
AME,Ametek,Industrials
AMG,Affiliated Managers Group Inc,Financials
AMGN.O,Amgen Inc,Health Care
AMP,Ameriprise Financial,Financials
AMT,American Tower Corp A,Financials
AMZN.O,Amazon.com Inc,Consumer Discretionary
ANTM.N,Anthem Inc.,Health Care
AON,Aon plc,Financials
APA,Apache Corporation,Energy
APC,Anadarko Petroleum Corp,Energy
APD,Air Products & Chemicals Inc,Materials
APH,Amphenol Corp A,Industrials
ATVI.O,Activision Blizzard,Information Technology
AVB,"AvalonBay Communities, Inc.",Financials
AVGO.O,Avago Technologies,Information Technology
AVY,Avery Dennison Corp,Materials
AWK,American Water Works Company Inc,Utilities
AXP,American Express Co,Financials
AYI,Acuity Brands Inc,Industrials
AZO,AutoZone Inc,Consumer Discretionary
BA,Boeing Company,Industrials
BAC,Bank of America Corp,Financials
BAX,Baxter International Inc.,Health Care
BBT,BB&T Corporation,Financials
BBY,Best Buy Co. Inc.,Consumer Discretionary
BDX,Becton Dickinson,Health Care
BEN,Franklin Resources,Financials
BF-B,Brown-Forman Corporation,Consumer Staples
BIIB.O,BIOGEN IDEC Inc.,Health Care
BK,The Bank of New York Mellon Corp.,Financials
BLK,BlackRock,Financials
BLL,Ball Corp,Materials
BMY,Bristol-Myers Squibb,Health Care
BRK-B,Berkshire Hathaway,Financials
BSX,Boston Scientific,Health Care
BWA,BorgWarner,Consumer Discretionary
BXP,Boston Properties,Financials
C,Citigroup Inc.,Financials
CA,"CA, Inc.",Information Technology
CAG,ConAgra Foods Inc.,Consumer Staples
CAH,Cardinal Health Inc.,Health Care
CAT,Caterpillar Inc.,Industrials
CBS,CBS Corp.,Consumer Discretionary
CCI,Crown Castle International Corp.,Financials
CCL,Carnival Corp.,Consumer Discretionary
CELG.O,Celgene Corp.,Health Care
CERN,Cerner,Health Care
CF,CF Industries Holdings Inc,Materials
CFG,Citizens Financial Group,Financials
CHD,Church & Dwight,Consumer Staples
CHK,Chesapeake Energy,Energy
CHRW,C. H. Robinson Worldwide,Industrials
CI,CIGNA Corp.,Health Care
CINF,Cincinnati Financial,Financials
CL,Colgate-Palmolive,Consumer Staples
CLX,The Clorox Company,Consumer Staples
CMA,Comerica Inc.,Financials
CMCSA.O,Comcast A Corp,Consumer Discretionary
CME,CME Group Inc.,Financials
CMG,Chipotle Mexican Grill,Consumer Discretionary
CMI,Cummins Inc.,Industrials
CMS,CMS Energy,Utilities
CNC,Centene Corporation,Health Care
CNP,CenterPoint Energy,Utilities
COF,Capital One Financial,Financials
COG,Cabot Oil & Gas,Energy
COL,Rockwell Collins,Industrials
COP,ConocoPhillips,Energy
COST.O,Costco Co.,Consumer Staples
CPB,Campbell Soup,Consumer Staples
CRM,Salesforce.com,Information Technology
CSRA,CSRA Inc.,Information Technology
CSX.O,CSX Corp.,Industrials
CTAS,Cintas Corporation,Industrials
CTL,CenturyLink Inc,Telecommunications Services
CTSH.O,Cognizant Technology Solutions,Information Technology
CTXS,Citrix Systems,Information Technology
CVS,CVS Health,Consumer Staples
CVX,Chevron Corp.,Energy
CXO,Concho Resources,Energy
D,Dominion Resources,Utilities
DAL,Delta Air Lines,Industrials
DE,Deere & Co.,Industrials
DFS,Discover Financial Services,Financials
DG,Dollar General,Consumer Discretionary
DGX,Quest Diagnostics,Health Care
DHI,D. R. Horton,Consumer Discretionary
DHR,Danaher Corp.,Industrials
DIS,The Walt Disney Company,Consumer Discretionary
DISCA.O,Discovery Communications-A,Consumer Discretionary
DISCK.O,Discovery Communications-C,Consumer Discretionary
DLPH.N,Delphi Automotive,Consumer Discretionary
DLR,Digital Realty Trust,Financials
DLTR.O,Dollar Tree,Consumer Discretionary
DOV,Dover Corp.,Industrials
DPS,Dr Pepper Snapple Group,Consumer Staples
DRI,Darden Restaurants,Consumer Discretionary
DTE,DTE Energy Co.,Utilities
DUK,Duke Energy,Utilities
DVA,DaVita Inc.,Health Care
DVN,Devon Energy Corp.,Energy
EA,Electronic Arts,Information Technology
EBAY.O,eBay Inc.,Information Technology
ECL,Ecolab Inc.,Materials
ED,Consolidated Edison,Utilities
EFX,Equifax Inc.,Financials
EIX,Edison Int'l,Utilities
EL,Estee Lauder Cos.,Consumer Staples
EMN,Eastman Chemical,Materials
EMR,Emerson Electric Company,Industrials
EOG,EOG Resources,Energy
EQIX.O,Equinix,Information Technology
EQR,Equity Residential,Financials
EQT,EQT Corporation,Energy
ES,Eversource Energy,Utilities
ESRX.O,Express Scripts,Health Care
ESS,Essex Property Trust Inc,Financials
ETFC.O,E*Trade,Financials
ETN,Eaton Corporation,Industrials
ETR,Entergy Corp.,Utilities
EW,Edwards Lifesciences,Health Care
EXC,Exelon Corp.,Utilities
EXPD,Expeditors Int'l,Industrials
EXPE.O,Expedia Inc.,Consumer Discretionary
EXR,Extra Space Storage,Financials
F,Ford Motor,Consumer Discretionary
FAST,Fastenal Co,Industrials
FB.O,Facebook,Information Technology
FBHS,Fortune Brands Home & Security,Industrials
FCX,Freeport-McMoran Cp & Gld,Materials
FDX,FedEx Corporation,Industrials
FE,FirstEnergy Corp,Utilities
FFIV,F5 Networks,Information Technology
FIS,Fidelity National Information Services,Information Technology
FISV,Fiserv Inc,Information Technology
FITB.O,Fifth Third Bancorp,Financials
FL,Foot Locker Inc,Consumer Discretionary
FLIR,FLIR Systems,Industrials
FLR,Fluor Corp.,Industrials
FLS,Flowserve Corporation,Industrials
FMC,FMC Corporation,Materials
FOX.O,Twenty-First Century Fox Class B,Consumer Discretionary
FOXA.O,Twenty-First Century Fox Class A,Consumer Discretionary
FRT,Federal Realty Investment Trust,Financials
FTI,FMC Technologies Inc.,Energy
FTV,Fortive Corp,Industrials
GD,General Dynamics,Industrials
GE,General Electric,Industrials
